MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,is_attached_garage
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,3,1,1,1,1,1,3,3,2,3,1,2,1,1,1,1,1,1,1,1,2,2
1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,4,1,1,1,1,2,1,1,2,2,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,3,1,1,1,1,1,4,4,3,2,1,1,1,1,2,1,1,1,2,1,1,1
2,1,1,1,1,1,1,1,1,3,1,1,5,3,2,3,1,2,1,2,2,1,1,1,1,1,2,2
1,1,1,1,1,1,3,1,2,4,1,1,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,1,4,4,2,2,1,1,1,1,2,1,1,1,1,1,1,2
1,1,1,2,1,1,1,1,1,1,2,1,6,3,3,1,1,1,1,1,3,1,1,1,1,2,3,3
1,1,1,3,1,1,1,1,1,2,2,1,4,5,2,2,1,3,1,1,2,1,1,1,1,1,1,2
1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,1
1,1,1,2,1,1,3,1,1,2,2,1,2,2,1,2,1,3,1,1,2,1,1,3,1,1,1,1
2,1,1,1,1,1,3,1,1,4,1,1,3,6,2,3,1,1,1,3,2,1,1,4,1,1,1,2
1,1,1,2,1,1,4,1,1,2,1,1,3,6,1,2,1,1,1,1,2,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,5,1,3,1,1,2,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,2,2,1,5,5,2,2,1,3,1,1,2,1,1,2,1,3,2,1
1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3
2,1,2,1,2,1,1,1,1,4,1,1,3,6,2,1,1,1,1,2,1,2,1,4,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,4,2,1,1,7,7,2,1,1,3,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,2,1,1,8,5,2,2,1,1,1,1,1,1,1,2,1,1,1,1
1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,3,1,1,2,1,1,3,6,2,2,1,3,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,4,1,1,2,1,1,2,2,2,2,1,3,1,1,2,1,1,1,1,1,1,1
2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,3,1,4,2,1,4,1,1,1,1,1,1,2
3,1,3,1,1,1,1,1,1,1,3,1,5,8,2,3,1,3,2,1,2,2,1,2,1,1,1,2
1,1,1,2,1,1,4,1,1,2,1,1,4,4,2,2,1,2,1,1,1,1,1,2,1,1,1,1
1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,2,2,1,5,8,2,2,1,2,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4,2,2,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,1,3,6,1,2,1,2,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,3,2,1,1,9,5,2,1,1,3,2,4,4,2,1,1,1,1,4,2
1,1,1,1,1,1,1,1,1,2,1,1,3,6,1,2,1,1,1,1,2,1,1,3,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,3,1,1,1,1,1,1
1,1,1,2,1,1,4,1,1,5,1,1,4,4,2,2,1,2,1,1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,4,1,1,2,2,1,1,1,2,2,1,3,1,1,2,1,1,2,1,1,1,2
1,1,1,1,1,1,1,1,1,2,1,1,5,6,2,2,1,1,1,3,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4,2,2,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1
